full_name;model;link;sku;brand_name;weight;price;primePrice;primePriceWithDiscount;oldPrice;oldPrimePrice;priceWithDiscount;discountPercentage;rating;ratingCount;available;warranty;date
placa-de-video-msi-nvidia-geforce-rtx-4080-16gb-256-bit-gddr6x;rtx 4080;https://www.kabum.com.br//produto/452070/placa-de-video-msi-nvidia-geforce-rtx-4080-16gb-256-bit-gddr6x;452070;MSI;2190;11179.99;0;0;0;0;10061.99;10;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-nvidia-msi-geforce-rtx-4080-gaming-x-trio-16gb-ddr6-256-bits-912-v511-046;rtx 4080;https://www.kabum.com.br//produto/466248/placa-de-video-nvidia-msi-geforce-rtx-4080-gaming-x-trio-16gb-ddr6-256-bits-912-v511-046;466248;MSI;2830;10026.9;0;0;0;0;9525.56;5;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-gaming-x-trio-msi-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-geforce-rtx-4080-16gb-gaming-x-trio;rtx 4080;https://www.kabum.com.br//produto/504634/placa-de-video-rtx-4080-gaming-x-trio-msi-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-geforce-rtx-4080-16gb-gaming-x-trio;504634;MSI;4500;8490;0;0;0;0;8490;0;0;0;True;;2024-04-25 03:36:49.843165
zotac-gaming-geforce-rtx-4080-super-trinity-white-edition-16gb-gddr6x-zt-d40820q-10p;rtx 4080;https://www.kabum.com.br//produto/573501/zotac-gaming-geforce-rtx-4080-super-trinity-white-edition-16gb-gddr6x-zt-d40820q-10p;573501;Zotac;1580;11468.45;0;0;0;0;11468.45;0;0;0;True;;2024-04-25 03:36:49.843165
bloco-placa-de-video-gpu-block-asus-rtx-4080-tuf-e-strix-barrow-rgb;rtx 4080;https://www.kabum.com.br//produto/543634/bloco-placa-de-video-gpu-block-asus-rtx-4080-tuf-e-strix-barrow-rgb;543634;Barrow;1500;1190.88;0;0;0;0;1190.88;0;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-nvidia-gigabyte-geforce-rtx-4080-gaming-oc-16gb-gddr6x-256-bits-gv-n4080gaming-oc-16;rtx 4080;https://www.kabum.com.br//produto/538962/placa-de-video-nvidia-gigabyte-geforce-rtx-4080-gaming-oc-16gb-gddr6x-256-bits-gv-n4080gaming-oc-16;538962;Gigabyte;2610;10705.22;0;0;0;0;9099.44;15;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-rx-7800-xt-challenger-16g-oc-asrock-amd-radeon-16gb-gddr6-rdna-3-ray-tracing-90-ga4szz-00uanf;rx 7800 xt;https://www.kabum.com.br//produto/482461/placa-de-video-rx-7800-xt-challenger-16g-oc-asrock-amd-radeon-16gb-gddr6-rdna-3-ray-tracing-90-ga4szz-00uanf;482461;ASRock;1378;4117.64;3994.11;3394.99;4117.64;4117.64;3499.99;15;0;0;True;12 meses de garantia;2024-04-25 03:36:52.365688
placa-de-video-rx-7800-xt-phantom-gaming-16g-oc-asrock-amd-radeon-16gb-argb-ray-tracing-90-ga4mzz-00uanf;rx 7800 xt;https://www.kabum.com.br//produto/482459/placa-de-video-rx-7800-xt-phantom-gaming-16g-oc-asrock-amd-radeon-16gb-argb-ray-tracing-90-ga4mzz-00uanf;482459;ASRock;2200;4470.58;4336.46;3685.99;4470.58;4470.58;3799.99;15;5;3;True;12 meses de garantia;2024-04-25 03:36:52.365688
placa-de-video-asus-tuf-gaming-amd-radeon-rx-7800-xt-oc-edition-16gb-gddr6-rgb-ray-tracing-90yv0jj0-m0na00;rx 7800 xt;https://www.kabum.com.br//produto/520501/placa-de-video-asus-tuf-gaming-amd-radeon-rx-7800-xt-oc-edition-16gb-gddr6-rgb-ray-tracing-90yv0jj0-m0na00;520501;ASUS;2120;4470.58;4336.46;3685.99;4470.58;4470.58;3799.99;15;5;1;True;36 meses de garantia;2024-04-25 03:36:52.365688
placa-de-video-asus-tuf-gaming-amd-radeon-rx-7800-xt-oc;rx 7800 xt;https://www.kabum.com.br//produto/550007/placa-de-video-asus-tuf-gaming-amd-radeon-rx-7800-xt-oc;550007;MSI;900;4222.11;0;0;0;0;3799.9;10;0;0;True;;2024-04-25 03:36:52.365688
placa-de-video-rx-7700-xt-fighter-powercolor-amd-radeon-12gb-gddr6-ray-tracing-rx7700xt-12g-f-oc;rx 7700 xt;https://www.kabum.com.br//produto/484962/placa-de-video-rx-7700-xt-fighter-powercolor-amd-radeon-12gb-gddr6-ray-tracing-rx7700xt-12g-f-oc;484962;Power Color;1606;3529.4;3423.52;2909.99;3529.4;3529.4;2999.99;15;5;1;True;12 meses de garantia;2024-04-25 03:36:59.136712
placa-de-video-rx-7700-xt-hellhound-powercolor-amd-radeon-12gb-gddr6-ray-tracing-rx7700xt-12g-l-oc;rx 7700 xt;https://www.kabum.com.br//produto/484963/placa-de-video-rx-7700-xt-hellhound-powercolor-amd-radeon-12gb-gddr6-ray-tracing-rx7700xt-12g-l-oc;484963;Power Color;1844;3529.4;3423.52;2909.99;3529.4;3529.4;2999.99;15;5;3;True;12 meses de garantia;2024-04-25 03:36:59.136712
